4-12V	1	"BAT1"
470n	4	"C2 C3 C4 C5"
1μ	2	"C1 C6"
100μ	2	"C7 C8"
 	2	"D1 D2"
20-40mA	1	"D3"
STEREO JACK 3.5mm	1	"J1"
MONO JACK 6.35mm	4	"J2 J3 J4 J5"
MICRO-USB-B	1	"P1"
J309	1	"Q1"
10	1	"R29"
1k	12	"R4 R10 R16 R22 R9 R15 R21 R27 R3 R28 R30 R31"
10k-LOG	2	"R1 R2"
47k	4	"R7 R13 R19 R25"
100k	4	"R6 R12 R18 R24"
500k-LOG	4	"R8 R14 R20 R26"
1M	4	"R5 R11 R17 R23"
ON/OFF/ON	4	"SW1 SW2 SW3 SW4"
SPDT	4	"SW5 SW6 SW7 SW8"
LM358AN	5	"U1 U2 U3 U4 U5"
